dataset,scenario,data_seed,split_seed,model,rank,edge,order,is_true_edge
dry_bean_uci,dry_bean_uci,157,157,L1-full,241,0-3-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,242,2-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,243,2-7-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,244,0-6-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,245,2-4-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,246,3-11-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,247,2-3-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,248,3-12-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,249,4-7,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,250,3-5-11,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,251,3-4-11,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,252,5-7-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,253,1-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,254,1-4,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,255,6-7-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,256,10-13-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,257,3-4-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,258,4-9-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,259,2-6-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,260,1-13-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,261,0-7-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,262,1-8,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,263,0-2-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,264,7-11,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,265,9-11-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,266,3-9,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,267,2-5-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,268,4-9,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,269,5-10-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,270,1-5-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,271,4-8-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,272,10-12-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,273,2-4,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,274,8-9-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,275,2-11,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,276,3-4-5,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,277,2-11-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,278,2-5-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,279,1-11,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,280,6-9-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,281,2-4-11,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,282,7-12-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,283,3-10-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,284,2-4-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,285,2-10-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,286,2-5-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,287,5-7-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,288,8-12-15,3,
