dataset,model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,auc_mean,train_seconds_mean,parameter_count_mean,support_precision_mean,support_recall_mean
synthetic_mixed,mlp,0.7439285714285714,0.020885987881733455,0.7436550037535847,0.02064640745745066,0.8306530612244899,5.315636240001186,1089.0,,
synthetic_mixed,shil_pair_k12,0.7685714285714286,0.02424234573077889,0.7684140311308684,0.024135958998667655,0.856326530612245,5.068745460006175,394.0,0.16666666666666666,0.5
synthetic_mixed,shil_pair_k3,0.7707142857142857,0.024308025465693803,0.7704908808232603,0.024352702709340483,0.8628826530612246,5.076872220003861,394.0,0.6666666666666666,0.5
synthetic_mixed,shil_pair_k6,0.7625,0.02831919915563169,0.7623207652593033,0.028274338747690267,0.858109693877551,5.072921839999617,394.0,0.3333333333333333,0.5
synthetic_mixed,shil_pair_triple_k16,0.8982142857142857,0.005503941074079442,0.8981891859179967,0.005498168044532586,0.9706581632653061,5.48836191999726,2074.0,0.25,1.0
synthetic_mixed,shil_pair_triple_k4,0.9042857142857142,0.006388765649999397,0.9042716325475236,0.006378919286492893,0.9722831632653062,5.469159919998492,2074.0,1.0,1.0
synthetic_mixed,shil_pair_triple_k8,0.9014285714285715,0.007512744274272323,0.901405787830269,0.007502697753543164,0.9713698979591836,5.47246896000288,2074.0,0.5,1.0
synthetic_pair,explicit_all_pairs,0.8896428571428572,0.015791207835310097,0.8896369831264739,0.01579057872157792,0.9619183673469388,0.11766978000232484,137.0,,
synthetic_pair,factorization_machine,0.8892857142857142,0.018855992930306126,0.889276056649306,0.018860081096978013,0.9625408163265305,2.8772701199981383,290.0,,
synthetic_pair,hist_gradient_boosting,0.8257142857142856,0.02900343047971805,0.8256709767207251,0.029004586707629773,0.906920918367347,4.887384719998226,5341.8,,
synthetic_pair,linear,0.5092857142857143,0.014474202949399613,0.508785231304533,0.014089016542484626,0.5024821428571429,0.04776822000276297,17.0,,
synthetic_pair,mlp,0.8521428571428572,0.017100020885534476,0.8521074087784507,0.017129571205077142,0.9359285714285714,7.163971900002798,1089.0,,
synthetic_pair,shil_pair_k12,0.9025000000000001,0.011682448024140096,0.9024856381331487,0.011679445888054012,0.9707831632653061,9.755495200003498,394.0,0.25,1.0
synthetic_pair,shil_pair_k3,0.9064285714285714,0.013517279191268263,0.9064083300777719,0.013519227472363086,0.9728673469387754,9.71962787999946,394.0,1.0,1.0
synthetic_pair,shil_pair_k6,0.9039285714285714,0.019290673965437707,0.903911451745534,0.019290309399115517,0.971859693877551,9.760163700001431,394.0,0.5,1.0
synthetic_pair,shil_pair_triple_k16,0.9028571428571428,0.014319157283378185,0.9028397801888375,0.014314253314026314,0.9709056122448979,5.171185339998919,2074.0,0.1875,1.0
synthetic_pair,shil_pair_triple_k4,0.9046428571428571,0.013981127950759556,0.9046212102365871,0.013978437891307703,0.9725994897959183,5.190656680002576,2074.0,0.75,1.0
synthetic_pair,shil_pair_triple_k8,0.9032142857142856,0.011736911946539301,0.9031947725256841,0.011733533583417935,0.9718163265306122,5.153476500001853,2074.0,0.375,1.0
synthetic_triple,explicit_all_pairs,0.4828571428571428,0.021376424645207722,0.4826938249165072,0.021198167675858172,0.4903418367346939,0.04717141999863088,137.0,,
synthetic_triple,factorization_machine,0.5260714285714285,0.017569105537498343,0.5223008514018914,0.017461118879375306,0.516625,1.7462468799989437,290.0,,
synthetic_triple,hist_gradient_boosting,0.5185714285714286,0.02236067977499793,0.5166644434889769,0.022818618772997037,0.5304553571428572,0.6229209000011906,371.2,,
synthetic_triple,linear,0.5207142857142857,0.01668472660971154,0.5206508427848953,0.016659534780032417,0.5259438775510203,0.025419539998983963,17.0,,
synthetic_triple,mlp,0.5635714285714286,0.021000182214952923,0.5632739731187791,0.021032626382673284,0.5931020408163266,9.05698892000073,1089.0,,
synthetic_triple,shil_pair_k12,0.51,0.026833291080374064,0.5098639342664091,0.026917732171998197,0.5066326530612245,1.6295494800026062,394.0,0.0,0.0
synthetic_triple,shil_pair_k3,0.5067857142857143,0.017785570854269576,0.5065331081446854,0.017753638472687443,0.5186811224489796,1.628829799994128,394.0,0.0,0.0
synthetic_triple,shil_pair_k6,0.4957142857142857,0.020924121906331476,0.4954208723441223,0.0209835259380682,0.5061785714285715,1.6285780200007138,394.0,0.0,0.0
synthetic_triple,shil_pair_triple_k16,0.8532142857142857,0.010519054625016549,0.8531698343912136,0.010545223992357812,0.9435076530612244,5.834608180000214,2074.0,0.1875,1.0
synthetic_triple,shil_pair_triple_k4,0.8578571428571429,0.0088927854271348,0.8578362774079681,0.008890094195014462,0.9465408163265305,5.822759579995181,2074.0,0.75,1.0
synthetic_triple,shil_pair_triple_k8,0.8596428571428572,0.008802683959904441,0.8596148400492704,0.008792755830711357,0.9454438775510206,5.8286475800006885,2074.0,0.375,1.0
wine,explicit_all_pairs,0.9666666666666666,0.030429030972509263,0.967622242067493,0.029082044897216122,0.9958856421356421,0.11063760000397452,276.0,,
wine,factorization_machine,0.9555555555555555,0.03167153958608722,0.9553210804789753,0.03057303115364922,0.9962097624597626,3.42859613999899,354.0,,
wine,hist_gradient_boosting,0.9444444444444444,0.034020690871988606,0.9475246113207133,0.03374170434922767,0.9949254449254449,2.519781939999666,2712.2,,
wine,linear,0.9888888888888889,0.015214515486254639,0.9893907437815483,0.014576712509601027,0.9993404280904281,0.0842835199990077,42.0,,
wine,mlp,0.9333333333333333,0.05046083923495818,0.9354708892639927,0.049314886771585235,0.9829519092019092,1.270673119998537,1027.0,,
wine,shil_pair_k12,0.95,0.02324055629261323,0.9523228909290615,0.02226676648847393,0.9910856273356273,4.071563599997899,354.0,,
wine,shil_pair_k3,0.9555555555555555,0.03167153958608717,0.9566087603328983,0.03203074912284642,0.9961800236800237,4.051811640002415,354.0,,
wine,shil_pair_k6,0.9555555555555555,0.03167153958608716,0.9573051166082018,0.03086447099035385,0.9953040015540016,4.076765460002934,354.0,,
wine,shil_pair_triple_k16,0.9666666666666666,0.03621779114001475,0.9679595732626586,0.035300946601686256,0.9968543031043031,1.716567120005493,1498.0,,
wine,shil_pair_triple_k4,0.9777777777777779,0.012422599874998854,0.9786112023353402,0.01205204200828541,0.9986808561808562,1.7020434600039152,1498.0,,
wine,shil_pair_triple_k8,0.9722222222222221,0.027777777777777804,0.9732620807390792,0.02723704647667922,0.998464405964406,1.7033944400027394,1498.0,,
